NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,FROST_DAYS,FROST_DAYS_MEAN_PER_YEAR
04006005,ALLOS_SAPC,44.2425,6.625333,1400,1426,143
04019001,BARCELONNETTE,44.391167,6.670167,1155,1736,174
04027002,BEVONS,44.167,5.861833,520,683,68
04039001,CASTELLANE,43.849167,6.508,729,1308,131
04045001,CERESTE,43.850667,5.566,350,624,62
04049001,ST AUBAN,44.062167,5.989667,458,397,40
04068001,DAUPHIN,43.909833,5.767167,427,811,81
04070009,DIGNE LES BAINS,44.07,6.186667,554,947,95
04096002,JAUSIERS-ST ANNE,44.413667,6.725167,1240,1329,133
04096401,RESTEFOND-NIVOSE,44.34,6.8,2550,2034,203
04115001,MEAILLES_SAPC,44.031167,6.6295,1090,782,78
04126001,MONTCLAR_SAPC,44.391833,6.333333,1197,1262,126
04134002,LA MOTTE DU CAIRE,44.326667,6.0305,665,1415,142
04136001,LA MURE-ARGENS,43.977,6.520167,920,1432,143
04158002,QUINSON,43.7075,6.039833,400,647,65
04184001,ST JURS,43.900833,6.2005,867,424,42
04209005,SISTERON,44.2245,5.916,500,907,91
04217002,THOARD,44.146833,6.138833,732,875,88
04222001,TURRIERS,44.399,6.1695,1020,989,99
04230001,VALENSOLE,43.8395,6.000833,600,293,29
